Epoch 2920	Local 4.684421062469482	Global -5.734806060791016
Epoch 2930	Local 4.679830074310303	Global -5.735527038574219
Epoch 2940	Local 4.681957244873047	Global -5.735639572143555
Epoch 2950	Local 4.683022499084473	Global -5.734984397888184
Epoch 2960	Local 4.684525489807129	Global -5.734445095062256
Epoch 2970	Local 4.6803812980651855	Global -5.735599517822266
Epoch 2980	Local 4.680933952331543	Global -5.735083103179932
Epoch 2990	Local 4.6776909828186035	Global -5.735454559326172
Epoch 3000	Local 4.679963111877441	Global -5.735152721405029
Epoch 3010	Local 4.676881790161133	Global -5.735622406005859
Epoch 3020	Local 4.676356315612793	Global -5.735679626464844
Epoch 3030	Local 4.678619384765625	Global -5.7355499267578125
Epoch 3040	Local 4.676569938659668	Global -5.736243724822998
Epoch 3050	Local 4.677389621734619	Global -5.735642433166504
Epoch 3060	Local 4.6782708168029785	Global -5.736052513122559
Epoch 3070	Local 4.679360866546631	Global -5.736200332641602
Epoch 3080	Local 4.672389984130859	Global -5.736154079437256
Epoch 3090	Local 4.6748809814453125	Global -5.736255645751953
Epoch 3100	Local 4.681207656860352	Global -5.736194610595703
Epoch 3110	Local 4.673686981201172	Global -5.7357683181762695
Epoch 3120	Local 4.670987129211426	Global -5.736019134521484
Epoch 3130	Local 4.677489280700684	Global -5.73693323135376
Epoch 3140	Local 4.670687675476074	Global -5.736168384552002
Epoch 3150	Local 4.673172950744629	Global -5.736335277557373
Epoch 3160	Local 4.675240516662598	Global -5.735205173492432
Epoch 3170	Local 4.675482273101807	Global -5.736382484436035
Epoch 3180	Local 4.673255920410156	Global -5.736443042755127
Epoch 3190	Local 4.6703996658325195	Global -5.73631477355957
Epoch 3200	Local 4.671652793884277	Global -5.736333847045898
Epoch 3210	Local 4.670382499694824	Global -5.736557960510254
Epoch 3220	Local 4.6694254875183105	Global -5.736232757568359
Epoch 3230	Local 4.669804573059082	Global -5.7361884117126465
Epoch 3240	Local 4.6721272468566895	Global -5.736794471740723
Epoch 3250	Local 4.68487548828125	Global -5.734747409820557
Epoch 3260	Local 4.670172214508057	Global -5.73702335357666
Epoch 3270	Local 4.670267105102539	Global -5.7378058433532715
Epoch 3280	Local 4.667026519775391	Global -5.736677169799805
Epoch 3290	Local 4.673067569732666	Global -5.737008094787598
Epoch 3300	Local 4.669397830963135	Global -5.737126350402832
Epoch 3310	Local 4.669014930725098	Global -5.737127304077148
Epoch 3320	Local 4.671381950378418	Global -5.736536502838135
Epoch 3330	Local 4.668568134307861	Global -5.736684799194336
Epoch 3340	Local 4.666553974151611	Global -5.737480163574219
Epoch 3350	Local 4.670165538787842	Global -5.737269401550293
Epoch 3360	Local 4.6675615310668945	Global -5.737487316131592
Epoch 3370	Local 4.6684250831604	Global -5.73771858215332
Epoch 3380	Local 4.663843154907227	Global -5.737597465515137
Epoch 3390	Local 4.66943359375	Global -5.7377028465271
Epoch 3400	Local 4.663951396942139	Global -5.738336563110352
Epoch 3410	Local 4.663686275482178	Global -5.737363815307617
Epoch 3420	Local 4.6670451164245605	Global -5.737194061279297
Epoch 3430	Local 4.665813446044922	Global -5.737987995147705
Epoch 3440	Local 4.66307258605957	Global -5.738049030303955
Epoch 3450	Local 4.6666975021362305	Global -5.737944602966309
Epoch 3460	Local 4.665857315063477	Global -5.737875938415527
Epoch 3470	Local 4.664498805999756	Global -5.737894058227539
Epoch 3480	Local 4.664173126220703	Global -5.738216400146484
Epoch 3490	Local 4.66242790222168	Global -5.73825740814209
Epoch 3500	Local 4.664440631866455	Global -5.73797082901001
Epoch 3510	Local 4.659782886505127	Global -5.738255977630615
Epoch 3520	Local 4.659376621246338	Global -5.738165378570557
Epoch 3530	Local 4.659552574157715	Global -5.738260746002197
Epoch 3540	Local 4.660371780395508	Global -5.7381181716918945
Epoch 3550	Local 4.661294937133789	Global -5.7381486892700195
Epoch 3560	Local 4.659598350524902	Global -5.7385334968566895
Epoch 3570	Local 4.657763957977295	Global -5.738357067108154
Epoch 3580	Local 4.660357475280762	Global -5.738304615020752
Epoch 3590	Local 4.659412384033203	Global -5.738419532775879
Epoch 3600	Local 4.66290807723999	Global -5.738248825073242
Epoch 3610	Local 4.659085273742676	Global -5.738587379455566
Epoch 3620	Local 4.658609390258789	Global -5.738568305969238
Epoch 3630	Local 4.658398151397705	Global -5.73799991607666
Epoch 3640	Local 4.658481597900391	Global -5.738171577453613
Epoch 3650	Local 4.656981468200684	Global -5.738485813140869
Epoch 3660	Local 4.658714294433594	Global -5.7386932373046875
Epoch 3670	Local 4.6574201583862305	Global -5.73856782913208
Epoch 3680	Local 4.656949520111084	Global -5.738635540008545
Epoch 3690	Local 4.6599321365356445	Global -5.738853454589844
Epoch 3700	Local 4.660793781280518	Global -5.73842716217041
Epoch 3710	Local 4.6591925621032715	Global -5.738200664520264
Epoch 3720	Local 4.659142971038818	Global -5.738203525543213
Epoch 3730	Local 4.657487392425537	Global -5.738611221313477
Epoch 3740	Local 4.659321308135986	Global -5.739219665527344
Epoch 3750	Local 4.656192302703857	Global -5.738840103149414
Epoch 3760	Local 4.659998893737793	Global -5.738546848297119
Epoch 3770	Local 4.65820837020874	Global -5.739070415496826
Epoch 3780	Local 4.660378456115723	Global -5.738620758056641
Epoch 3790	Local 4.656757831573486	Global -5.738731384277344
Epoch 3800	Local 4.655383586883545	Global -5.738439559936523
Epoch 3810	Local 4.658860206604004	Global -5.738983154296875
Epoch 3820	Local 4.6552276611328125	Global -5.7385406494140625
Epoch 3830	Local 4.654577255249023	Global -5.7391462326049805
Epoch 3840	Local 4.655194282531738	Global -5.738672733306885
Epoch 3850	Local 4.656160831451416	Global -5.738526344299316
Epoch 3860	Local 4.65532922744751	Global -5.739099025726318
Epoch 3870	Local 4.656005382537842	Global -5.73832893371582
Epoch 3880	Local 4.652950286865234	Global -5.7387495040893555
Epoch 3890	Local 4.655473232269287	Global -5.738818168640137
Epoch 3900	Local 4.6537065505981445	Global -5.738801002502441
Epoch 3910	Local 4.656783580780029	Global -5.7380266189575195
Epoch 3920	Local 4.6580939292907715	Global -5.739999771118164
Epoch 3930	Local 4.654008388519287	Global -5.738430500030518
Epoch 3940	Local 4.653641700744629	Global -5.738792419433594
Epoch 3950	Local 4.654569625854492	Global -5.738415241241455
Epoch 3960	Local 4.654131889343262	Global -5.738555431365967
Epoch 3970	Local 4.65480899810791	Global -5.73907470703125
Epoch 3980	Local 4.654999256134033	Global -5.738765716552734
Epoch 3990	Local 4.652975082397461	Global -5.738495349884033
Epoch 4000	Local 4.651340007781982	Global -5.738804817199707
Epoch 4010	Local 4.655468940734863	Global -5.738868713378906
Epoch 4020	Local 4.652188777923584	Global -5.7387166023254395
Epoch 4030	Local 4.651694297790527	Global -5.7385406494140625
Epoch 4040	Local 4.651681423187256	Global -5.738684177398682
Epoch 4050	Local 4.651001453399658	Global -5.738677978515625
Epoch 4060	Local 4.651531219482422	Global -5.738590240478516
Epoch 4070	Local 4.653835296630859	Global -5.737920761108398
Epoch 4080	Local 4.652408599853516	Global -5.738916397094727
Epoch 4090	Local 4.653234481811523	Global -5.738625526428223
Epoch 4100	Local 4.651027202606201	Global -5.738552093505859
Epoch 4110	Local 4.649689674377441	Global -5.738656997680664
Epoch 4120	Local 4.652924537658691	Global -5.738700866699219
Epoch 4130	Local 4.651452541351318	Global -5.738738059997559
Epoch 4140	Local 4.653979301452637	Global -5.738365650177002
Epoch 4150	Local 4.649568557739258	Global -5.738948822021484
Epoch 4160	Local 4.65026330947876	Global -5.738726615905762
Epoch 4170	Local 4.6491804122924805	Global -5.738923072814941
Epoch 4180	Local 4.654906272888184	Global -5.739157676696777
Epoch 4190	Local 4.650258541107178	Global -5.738349914550781
Epoch 4200	Local 4.6467695236206055	Global -5.738833427429199
Epoch 4210	Local 4.646195411682129	Global -5.738792419433594
Epoch 4220	Local 4.6486711502075195	Global -5.738741874694824
Epoch 4230	Local 4.6492018699646	Global -5.738895416259766
Epoch 4240	Local 4.648540496826172	Global -5.738540172576904
Epoch 4250	Local 4.64656925201416	Global -5.7389020919799805
Epoch 4260	Local 4.64888334274292	Global -5.738504409790039
Epoch 4270	Local 4.648834705352783	Global -5.738723278045654
Epoch 4280	Local 4.648248195648193	Global -5.7384352684021
Epoch 4290	Local 4.646029472351074	Global -5.738752365112305
Epoch 4300	Local 4.645205020904541	Global -5.739116668701172
Epoch 4310	Local 4.644209861755371	Global -5.738794803619385
Epoch 4320	Local 4.6449971199035645	Global -5.738767623901367
Epoch 4330	Local 4.64586067199707	Global -5.738467216491699
Epoch 4340	Local 4.64630651473999	Global -5.738770961761475
Epoch 4350	Local 4.646257400512695	Global -5.739039897918701
Epoch 4360	Local 4.646271228790283	Global -5.73865270614624
Epoch 4370	Local 4.645264148712158	Global -5.738875389099121
Epoch 4380	Local 4.644503116607666	Global -5.738813400268555
Epoch 4390	Local 4.64459228515625	Global -5.738739967346191
Epoch 4400	Local 4.6451897621154785	Global -5.738910675048828
